experiment,epoch,loss,acc
dropout,1,0.24509244428963453,0.9789
dropout,2,0.09089175954824492,0.9856
dropout,3,0.07137710928493964,0.9875
dropout,4,0.060935718636872416,0.9878
dropout,5,0.05326187011000436,0.9889
dropout,6,0.04913548875571803,0.9892
dropout,7,0.04559048198993558,0.9901
dropout,8,0.04173387108067336,0.9901
dropout,9,0.04061048151230189,0.9908
dropout,10,0.037259616966504275,0.991
