experiment,epoch,loss,acc
baseline,1,0.1899868221948547,0.9815
baseline,2,0.05671690080934433,0.9841
baseline,3,0.04302911781398123,0.9856
baseline,4,0.03322489896944579,0.9881
baseline,5,0.027754471264854034,0.9889
baseline,6,0.02225470589594851,0.9905
baseline,7,0.019482969354191765,0.9887
baseline,8,0.015390817480954725,0.9908
baseline,9,0.012475739213214047,0.9879
baseline,10,0.011351410666746598,0.9909
