epoch,seed,lr,train_loss,test_loss,num_params
1,1000,0.0005,0.08143064133981441,0.04708532616496086,101200
2,1000,0.0005,0.03973699259631177,0.03307530414313078,101200
3,1000,0.0005,0.029666238587270393,0.02552428301423788,101200
4,1000,0.0005,0.02288824667004829,0.020050126127898693,101200
5,1000,0.0005,0.018638420136685065,0.016555603966116904,101200
6,1000,0.0005,0.015587265452647462,0.013991267234086991,101200
7,1000,0.0005,0.013363475883577731,0.01212746389210224,101200
8,1000,0.0005,0.011652802125095053,0.010593758523464203,101200
9,1000,0.0005,0.010236981122734698,0.009316119085997342,101200
10,1000,0.0005,0.009088599023983833,0.008344786567613482,101200
