epoch,seed,lr,train_loss,test_loss,num_params
1,919,0.0005,0.08341750340892913,0.04879723526537418,101200
2,919,0.0005,0.039196015720037704,0.031460871919989586,101200
3,919,0.0005,0.027532750344339836,0.023996338434517383,101200
4,919,0.0005,0.02226352961932091,0.019916203059256076,101200
5,919,0.0005,0.018445224188109663,0.016546360682696104,101200
6,919,0.0005,0.01568346048130634,0.014226975105702876,101200
7,919,0.0005,0.013594793492650732,0.012424330972135068,101200
8,919,0.0005,0.01190412294198858,0.01088144313544035,101200
9,919,0.0005,0.010474225109879007,0.009551599062979222,101200
10,919,0.0005,0.009297703515658987,0.00856890887953341,101200
