epoch,seed,lr,loss,acc,num_params
1,1000,0.0003,0.5895493213714821,0.9678,86826
2,1000,0.0003,0.12070909930841882,0.9814,86826
3,1000,0.0003,0.0773342852828218,0.979,86826
4,1000,0.0003,0.06288872626044158,0.9836,86826
5,1000,0.0003,0.05145507522854708,0.9878,86826
6,1000,0.0003,0.04408914669414859,0.9755,86826
7,1000,0.0003,0.03863783898641234,0.979,86826
8,1000,0.0003,0.036413519722429406,0.9795,86826
9,1000,0.0003,0.033433764091462516,0.986,86826
10,1000,0.0003,0.03170132221714127,0.9897,86826
