epoch,seed,lr,loss,acc,num_params
1,1000,0.0001,1.1220392229269818,0.9631,86826
2,1000,0.0001,0.3126119296910412,0.9721,86826
3,1000,0.0001,0.1766214497339751,0.9797,86826
4,1000,0.0001,0.126153775544436,0.9811,86826
5,1000,0.0001,0.09778482897250827,0.9839,86826
6,1000,0.0001,0.07954049103859581,0.9838,86826
7,1000,0.0001,0.06688875976656038,0.9875,86826
8,1000,0.0001,0.05899644641380416,0.9896,86826
9,1000,0.0001,0.051774427881523935,0.9899,86826
10,1000,0.0001,0.04717294204094485,0.9895,86826
