epoch,seed,lr,loss,acc,num_params
1,919,0.0003,0.6044288285569087,0.9706,86826
2,919,0.0003,0.12901964569206176,0.9808,86826
3,919,0.0003,0.08350201112343304,0.9734,86826
4,919,0.0003,0.0649792753032911,0.9836,86826
5,919,0.0003,0.0525413941341772,0.9832,86826
6,919,0.0003,0.04681228080700869,0.9864,86826
7,919,0.0003,0.040839586483149816,0.986,86826
8,919,0.0003,0.03637912649033802,0.9705,86826
9,919,0.0003,0.03324227525082145,0.9821,86826
10,919,0.0003,0.030090689519867063,0.9523,86826
