epoch,seed,lr,loss,acc,num_params
1,1000,0.0004,0.503477905422195,0.9447,86826
2,1000,0.0004,0.1032695990067714,0.98,86826
3,1000,0.0004,0.06823122768359048,0.9781,86826
4,1000,0.0004,0.056436586768122146,0.9884,86826
5,1000,0.0004,0.046802283847021425,0.9854,86826
6,1000,0.0004,0.04073595098812562,0.9805,86826
7,1000,0.0004,0.03487507531271457,0.9686,86826
8,1000,0.0004,0.033398678088421695,0.9797,86826
9,1000,0.0004,0.030237507893329563,0.9888,86826
10,1000,0.0004,0.028592264659003788,0.988,86826
