epoch,seed,lr,loss,acc,num_params
1,919,0.0005,0.45969368829560686,0.9545,86826
2,919,0.0005,0.09787767974417537,0.9718,86826
3,919,0.0005,0.06665694891616131,0.9791,86826
4,919,0.0005,0.05389393663017957,0.9782,86826
5,919,0.0005,0.046012740468542805,0.9772,86826
6,919,0.0005,0.04098710287655237,0.9878,86826
7,919,0.0005,0.03728069665296666,0.9858,86826
8,919,0.0005,0.03300402187436982,0.9682,86826
9,919,0.0005,0.031164144396782913,0.9763,86826
10,919,0.0005,0.02753342293624355,0.9776,86826
