epoch,seed,lr,loss,acc,num_params
1,1000,0.001,0.32041365845498243,0.962,86826
2,1000,0.001,0.07318638237232943,0.9868,86826
3,1000,0.001,0.052921077753327835,0.9782,86826
4,1000,0.001,0.04688320140605534,0.9879,86826
5,1000,0.001,0.039064756906735325,0.9774,86826
6,1000,0.001,0.03493308658879905,0.9834,86826
7,1000,0.001,0.03014128563167559,0.9796,86826
8,1000,0.001,0.029013466135202063,0.9783,86826
9,1000,0.001,0.02598270240362916,0.9922,86826
10,1000,0.001,0.024445688583950666,0.9747,86826
